HGNC_symbol,ProteinID,DrugName,DrugCID,Drug,AE
CDH3,4zmw,brigatinib,68165256,brigatinib-68165256,-9.4
CDH3,4zmw,dexamethasone,5743,dexamethasone-5743,-9.4
CDH3,4zmw,romidepsin,91110640,romidepsin-91110640,-9.4
VEGFA,5dn2,alectinib,49806720,alectinib-49806720,-9.4
VEGFA,5dn2,etoposide,36462,etoposide-36462,-9.4
VEGFA,5dn2,ibrutinib,24821094,ibrutinib-24821094,-9.4
VEGFA,5dn2,vemurafenib,42611257,vemurafenib-42611257,-9.4
NR3C2,5hcv,ceritinib,57379345,ceritinib-57379345,-9.4
NR3C2,5hcv,etoposide,11072012,etoposide-11072012,-9.4
NR3C2,5hcv,etoposide,6610299,etoposide-6610299,-9.4
NR3C2,5hcv,etoposide,9916469,etoposide-9916469,-9.4
NR3C2,5hcv,ibrutinib,24821094,ibrutinib-24821094,-9.4
NR3C2,5hcv,sonidegib,24775005,sonidegib-24775005,-9.4
NR3C2,5hcv,temsirolimus,71312019,temsirolimus-71312019,-9.4
NR3C2,5hcv,temsirolimus,71433778,temsirolimus-71433778,-9.4
VEGFA,5hhc,dactinomycin,457193,dactinomycin-457193,-9.4
NR3C2,5l7e,nilotinib,644241,nilotinib-644241,-9.4
NR3C2,5l7g,abemaciclib,46220502,abemaciclib-46220502,-9.4
FABP6,5l8i,aprepitant,135413536,aprepitant-135413536,-9.4
FABP6,5l8i,idelalisib,11625818,idelalisib-11625818,-9.4
FABP6,5l8n,etoposide,50989217,etoposide-50989217,-9.4
FABP6,5l8n,palbociclib,5330286,palbociclib-5330286,-9.4
FABP6,5l8n,plerixafor,65015,plerixafor-65015,-9.4
FABP6,5l8o,cobimetinib,16222096,cobimetinib-16222096,-9.4
FABP6,5l8o,vemurafenib,42611257,vemurafenib-42611257,-9.4
NR3C2,5mwy,alectinib,49806720,alectinib-49806720,-9.4
NR3C2,5mwy,exemestane,60198,exemestane-60198,-9.4
NR3C2,5mwy,vemurafenib,42611257,vemurafenib-42611257,-9.4
RHEB,6bsx,granisetron,14788250,granisetron-14788250,-9.4
RHEB,6bsx,granisetron,5284566,granisetron-5284566,-9.4
NCKIPSD,6dec,etoposide,11758093,etoposide-11758093,-9.4
NCKIPSD,6dec,etoposide,92209272,etoposide-92209272,-9.4
NCKIPSD,6ded,sonidegib,24775005,sonidegib-24775005,-9.4
VEGFA,1bj1,temsirolimus,129317846,temsirolimus-129317846,-9.3
VEGFA,1bj1,temsirolimus,71312019,temsirolimus-71312019,-9.3
VEGFA,1kat,venetoclax,49846579,venetoclax-49846579,-9.3
NOG,1m4u,plerixafor,65015,plerixafor-65015,-9.3
VEGFA,1mkk,venetoclax,49846579,venetoclax-49846579,-9.3
FABP6,1o1u,etoposide,9916469,etoposide-9916469,-9.3
FABP6,1o1v,vismodegib,24776445,vismodegib-24776445,-9.3
IL6R,1p9m,venetoclax,49846579,venetoclax-49846579,-9.3
CITED2,1r8u,nilotinib,644241,nilotinib-644241,-9.3
GLTP,1swx,bicalutamide,2375,bicalutamide-2375,-9.3
GLTP,1sx6,brigatinib,68165256,brigatinib-68165256,-9.3
GLTP,1sx6,granisetron,5284566,granisetron-5284566,-9.3
VEGFA,1tzh,trametinib,11707110,trametinib-11707110,-9.3
VEGFA,1tzi,aprepitant,135413536,aprepitant-135413536,-9.3
VEGFA,1tzi,everolimus,6442177,everolimus-6442177,-9.3
VEGFA,1tzi,plerixafor,65015,plerixafor-65015,-9.3
NR3C2,1y9r,dactinomycin,457193,dactinomycin-457193,-9.3
NR3C2,1y9r,nilotinib,644241,nilotinib-644241,-9.3
NR3C2,1ya3,cobimetinib,16222096,cobimetinib-16222096,-9.3
NR3C2,1ya3,crizotinib,11626560,crizotinib-11626560,-9.3
NR3C2,1ya3,pomalidomide,134780,pomalidomide-134780,-9.3
NR3C2,2a3i,exemestane,60198,exemestane-60198,-9.3
NR3C2,2aa6,venetoclax,49846579,venetoclax-49846579,-9.3
NR3C2,2aax,olaparib,23725625,olaparib-23725625,-9.3
NR3C2,2aax,sonidegib,24775005,sonidegib-24775005,-9.3
NR3C2,2ab2,plerixafor,65015,plerixafor-65015,-9.3
GLTP,2euk,bosutinib,5328940,bosutinib-5328940,-9.3
GLTP,2eum,abemaciclib,46220502,abemaciclib-46220502,-9.3
GLTP,2eum,ceritinib,57379345,ceritinib-57379345,-9.3
GLTP,2eum,vandetanib,3081361,vandetanib-3081361,-9.3
GLTP,2evd,granisetron,14788250,granisetron-14788250,-9.3
GLTP,2evd,idelalisib,11625818,idelalisib-11625818,-9.3
GLTP,2evl,bosutinib,5328940,bosutinib-5328940,-9.3
GLTP,2evl,granisetron,3510,granisetron-3510,-9.3
GLTP,2evl,paclitaxel,6713921,paclitaxel-6713921,-9.3
VEGFA,2fjh,temsirolimus,129317846,temsirolimus-129317846,-9.3
VEGFA,2fjh,temsirolimus,18293306,temsirolimus-18293306,-9.3
EPB41L3,2he7,crizotinib,11626560,crizotinib-11626560,-9.3
EPB41L3,2he7,palbociclib,5330286,palbociclib-5330286,-9.3
EPB41L3,2he7,ribociclib,44631912,ribociclib-44631912,-9.3
PTPRN,2i1y,abemaciclib,46220502,abemaciclib-46220502,-9.3
PTPRN,2i1y,dactinomycin,457193,dactinomycin-457193,-9.3
PTPRN,2i1y,etoposide,137704929,etoposide-137704929,-9.3
FABP6,2mm3,paclitaxel,91885464,paclitaxel-91885464,-9.3
EPB41L3,3bin,axitinib,6450551,axitinib-6450551,-9.3
PTPRN,3n01,alectinib,49806720,alectinib-49806720,-9.3
PTPRN,3n01,everolimus,6442177,everolimus-6442177,-9.3
PTPRN,3n01,olaparib,23725625,olaparib-23725625,-9.3
PTPRN,3ng8,aprepitant,135413536,aprepitant-135413536,-9.3
PTPRN,3ng8,venetoclax,49846579,venetoclax-49846579,-9.3
PTPRN,3np5,idelalisib,11625818,idelalisib-11625818,-9.3
VEGFA,3p9w,etoposide,6419930,etoposide-6419930,-9.3
VEGFA,3p9w,temsirolimus,132274070,temsirolimus-132274070,-9.3
GLTP,3rwv,olaparib,23725625,olaparib-23725625,-9.3
GLTP,3rzn,dactinomycin,457193,dactinomycin-457193,-9.3
GLTP,3s0i,granisetron,118701621,granisetron-118701621,-9.3
GLTP,3s0k,anastrozole,2187,anastrozole-2187,-9.3
RHEB,3sea,axitinib,6450551,axitinib-6450551,-9.3
NR3C2,3vhu,sonidegib,24775005,sonidegib-24775005,-9.3
PADI4,4dkt,nilotinib,644241,nilotinib-644241,-9.3
PADI4,4dkt,venetoclax,49846579,venetoclax-49846579,-9.3
GLTP,4gh0,etoposide,50989217,etoposide-50989217,-9.3
GLTP,4gh0,granisetron,14788250,granisetron-14788250,-9.3
GLTP,4gh0,granisetron,5284566,granisetron-5284566,-9.3
GLTP,4gh0,idelalisib,11625818,idelalisib-11625818,-9.3
GLTP,4gh0,paclitaxel,44155032,paclitaxel-44155032,-9.3
GLTP,4ghs,ribociclib,44631912,ribociclib-44631912,-9.3
GLTP,4ghs,temsirolimus,132274070,temsirolimus-132274070,-9.3
GLTP,4gix,abemaciclib,46220502,abemaciclib-46220502,-9.3
GLTP,4gix,carfilzomib,11556711,carfilzomib-11556711,-9.3
GLTP,4gix,ribociclib,44631912,ribociclib-44631912,-9.3
GLTP,4gix,trametinib,11707110,trametinib-11707110,-9.3
GLTP,4gjq,exemestane,60198,exemestane-60198,-9.3
GLTP,4gjq,granisetron,17572266,granisetron-17572266,-9.3
VEGFA,4gln,venetoclax,49846579,venetoclax-49846579,-9.3
VEGFA,4gls,bosutinib,5328940,bosutinib-5328940,-9.3
VEGFA,4gls,granisetron,3510,granisetron-3510,-9.3
VEGFA,4gls,palbociclib,5330286,palbociclib-5330286,-9.3
VEGFA,4gls,temsirolimus,134812825,temsirolimus-134812825,-9.3
VEGFA,4gls,temsirolimus,71296107,temsirolimus-71296107,-9.3
GLTP,4gvt,fulvestrant,104741,fulvestrant-104741,-9.3
GLTP,4gvt,ixabepilone,6445540,ixabepilone-6445540,-9.3
GLTP,4gvt,panobinostat,6918837,panobinostat-6918837,-9.3
GLTP,4gxd,paclitaxel,6713921,paclitaxel-6713921,-9.3
GLTP,4gxd,temsirolimus,18293306,temsirolimus-18293306,-9.3
GLTP,4gxg,granisetron,17572266,granisetron-17572266,-9.3
GLTP,4h2z,bicalutamide,2375,bicalutamide-2375,-9.3
GLTP,4h2z,ivosidenib,71657455,ivosidenib-71657455,-9.3
NR3C2,4pf3,nilotinib,644241,nilotinib-644241,-9.3
NR3C2,4pf3,panobinostat,6918837,panobinostat-6918837,-9.3
VEGFA,4qaf,aprepitant,135413536,aprepitant-135413536,-9.3
NR3C2,4tnt,venetoclax,49846579,venetoclax-49846579,-9.3
PADI4,4x8c,vemurafenib,42611257,vemurafenib-42611257,-9.3
PADI4,4x8g,bexarotene,82146,bexarotene-82146,-9.3
PADI4,4x8g,palbociclib,5330286,palbociclib-5330286,-9.3
PADI4,4x8g,romidepsin,5352062,romidepsin-5352062,-9.3
PADI4,4x8g,temsirolimus,24847874,temsirolimus-24847874,-9.3
PADI4,4x8g,valrubicin,454216,valrubicin-454216,-9.3
CDH3,4zmo,venetoclax,49846579,venetoclax-49846579,-9.3
CDH3,4zmt,aprepitant,135413536,aprepitant-135413536,-9.3
CDH3,4zmt,temsirolimus,71296107,temsirolimus-71296107,-9.3
CDH3,4zmv,bexarotene,82146,bexarotene-82146,-9.3
CDH3,4zmw,nilotinib,644241,nilotinib-644241,-9.3
CDH3,4zmw,temsirolimus,132274070,temsirolimus-132274070,-9.3
CDH3,4zmw,temsirolimus,54608508,temsirolimus-54608508,-9.3
CDH3,4zmw,temsirolimus,71296107,temsirolimus-71296107,-9.3
CDH3,4zmx,ibrutinib,24821094,ibrutinib-24821094,-9.3
VEGFA,5dn2,etoposide,9916469,etoposide-9916469,-9.3
VEGFA,5fv1,alectinib,49806720,alectinib-49806720,-9.3
VEGFA,5fv1,dactinomycin,457193,dactinomycin-457193,-9.3
NR3C2,5hcv,bexarotene,82146,bexarotene-82146,-9.3
NR3C2,5hcv,etoposide,5284558,etoposide-5284558,-9.3
NR3C2,5hcv,etoposide,6419930,etoposide-6419930,-9.3
NR3C2,5hcv,idelalisib,11625818,idelalisib-11625818,-9.3
NR3C2,5hcv,paclitaxel,133640187,paclitaxel-133640187,-9.3
NR3C2,5hcv,paclitaxel,6915727,paclitaxel-6915727,-9.3
NR3C2,5hcv,paclitaxel,91885464,paclitaxel-91885464,-9.3
NR3C2,5hcv,palbociclib,5330286,palbociclib-5330286,-9.3
NR3C2,5hcv,temsirolimus,129317846,temsirolimus-129317846,-9.3
NR3C2,5hcv,temsirolimus,148191,temsirolimus-148191,-9.3
CDH3,5jym,dactinomycin,457193,dactinomycin-457193,-9.3
NR3C2,5l7e,olaparib,23725625,olaparib-23725625,-9.3
NR3C2,5l7h,sonidegib,24775005,sonidegib-24775005,-9.3
FABP6,5l8i,apalutamide,24872560,apalutamide-24872560,-9.3
FABP6,5l8i,carfilzomib,11556711,carfilzomib-11556711,-9.3
FABP6,5l8o,apalutamide,24872560,apalutamide-24872560,-9.3
FABP6,5l8o,brigatinib,68165256,brigatinib-68165256,-9.3
FABP6,5l8o,ceritinib,57379345,ceritinib-57379345,-9.3
NR3C2,5mwy,olaparib,23725625,olaparib-23725625,-9.3
PADI4,5n0m,venetoclax,49846579,venetoclax-49846579,-9.3
VEGFA,5o4e,etoposide,9916469,etoposide-9916469,-9.3
VEGFA,5o4e,temsirolimus,53486199,temsirolimus-53486199,-9.3
RHEB,5yxh,venetoclax,49846579,venetoclax-49846579,-9.3
RHEB,6bsx,etoposide,439525,etoposide-439525,-9.3
RHEB,6bsx,granisetron,118701621,granisetron-118701621,-9.3
RHEB,6bsx,trametinib,11707110,trametinib-11707110,-9.3
RHEB,6bt0,vemurafenib,42611257,vemurafenib-42611257,-9.3
NCKIPSD,6ded,etoposide,9916469,etoposide-9916469,-9.3
NCKIPSD,6ded,temsirolimus,9876533,temsirolimus-9876533,-9.3
VEGFA,1bj1,temsirolimus,18293306,temsirolimus-18293306,-9.2
VEGFA,1bj1,temsirolimus,23724530,temsirolimus-23724530,-9.2
VEGFA,1cz8,temsirolimus,23724530,temsirolimus-23724530,-9.2
VEGFA,1cz8,temsirolimus,54608508,temsirolimus-54608508,-9.2
NOG,1m4u,regorafenib,11167602,regorafenib-11167602,-9.2
VEGFA,1mkg,alectinib,49806720,alectinib-49806720,-9.2
VEGFA,1mkg,aprepitant,135413536,aprepitant-135413536,-9.2
VEGFA,1mkk,regorafenib,11167602,regorafenib-11167602,-9.2
VEGFA,1mkk,sonidegib,24775005,sonidegib-24775005,-9.2
FABP6,1o1u,aprepitant,135413536,aprepitant-135413536,-9.2
FABP6,1o1u,nilotinib,644241,nilotinib-644241,-9.2
FABP6,1o1v,granisetron,17572266,granisetron-17572266,-9.2
VEGFA,1qty,temsirolimus,5938194,temsirolimus-5938194,-9.2
VEGFA,1tzh,etoposide,17571827,etoposide-17571827,-9.2
VEGFA,1tzh,etoposide,45356822,etoposide-45356822,-9.2
VEGFA,1tzh,temsirolimus,148191,temsirolimus-148191,-9.2
VEGFA,1tzi,temsirolimus,18293306,temsirolimus-18293306,-9.2
VEGFA,1tzi,temsirolimus,24847874,temsirolimus-24847874,-9.2
RHEB,1xtq,nilotinib,644241,nilotinib-644241,-9.2
RHEB,1xtr,aprepitant,135413536,aprepitant-135413536,-9.2
RHEB,1xts,belinostat,6918638,belinostat-6918638,-9.2
NR3C2,1ya3,granisetron,3510,granisetron-3510,-9.2
PGLYRP1,1yck,venetoclax,49846579,venetoclax-49846579,-9.2
NR3C2,2a3i,venetoclax,49846579,venetoclax-49846579,-9.2
NR3C2,2aa2,exemestane,60198,exemestane-60198,-9.2
NR3C2,2aa2,venetoclax,49846579,venetoclax-49846579,-9.2
NR3C2,2aa5,alectinib,49806720,alectinib-49806720,-9.2
NR3C2,2aa5,axitinib,6450551,axitinib-6450551,-9.2
NR3C2,2aa5,sonidegib,24775005,sonidegib-24775005,-9.2
NR3C2,2aax,plerixafor,65015,plerixafor-65015,-9.2
GLTP,2euk,carfilzomib,11556711,carfilzomib-11556711,-9.2
GLTP,2euk,exemestane,60198,exemestane-60198,-9.2
GLTP,2euk,paclitaxel,73759704,paclitaxel-73759704,-9.2
GLTP,2eum,cobimetinib,16222096,cobimetinib-16222096,-9.2
GLTP,2eum,plerixafor,65015,plerixafor-65015,-9.2
GLTP,2eum,regorafenib,11167602,regorafenib-11167602,-9.2
GLTP,2evd,vandetanib,3081361,vandetanib-3081361,-9.2
GLTP,2evl,paclitaxel,53313247,paclitaxel-53313247,-9.2
GLTP,2evl,palbociclib,5330286,palbociclib-5330286,-9.2
GLTP,2evl,vandetanib,3081361,vandetanib-3081361,-9.2
GLTP,2evs,belinostat,6918638,belinostat-6918638,-9.2
GLTP,2evt,granisetron,118701621,granisetron-118701621,-9.2
VEGFA,2fjh,venetoclax,49846579,venetoclax-49846579,-9.2
EPB41L3,2he7,etoposide,50989217,etoposide-50989217,-9.2
EPB41L3,2he7,etoposide,90657341,etoposide-90657341,-9.2
EPB41L3,2he7,temsirolimus,148191,temsirolimus-148191,-9.2
PTPRN,2i1y,aprepitant,135413536,aprepitant-135413536,-9.2
PTPRN,2i1y,ivosidenib,71657455,ivosidenib-71657455,-9.2
PTPRN,2i1y,temsirolimus,53486199,temsirolimus-53486199,-9.2
FABP6,2mm3,bexarotene,82146,bexarotene-82146,-9.2
FABP6,2mm3,nelarabine,3011155,nelarabine-3011155,-9.2
FABP6,2mm3,trametinib,11707110,trametinib-11707110,-9.2
VEGFA,2qr0,paclitaxel,441276,paclitaxel-441276,-9.2
VEGFA,3bdy,sonidegib,24775005,sonidegib-24775005,-9.2
EPB41L3,3bin,etoposide,6419930,etoposide-6419930,-9.2
PTPRN,3n01,sonidegib,24775005,sonidegib-24775005,-9.2
PTPRN,3np5,axitinib,6450551,axitinib-6450551,-9.2
PTPRN,3np5,bexarotene,82146,bexarotene-82146,-9.2
PTPRN,3np5,etoposide,45356822,etoposide-45356822,-9.2
VEGFA,3p9w,aprepitant,135413536,aprepitant-135413536,-9.2
VEGFA,3qtk,olaparib,23725625,olaparib-23725625,-9.2
VEGFA,3qtk,sonidegib,24775005,sonidegib-24775005,-9.2
GLTP,3ric,enzalutamide,15951529,enzalutamide-15951529,-9.2
GLTP,3ric,granisetron,3510,granisetron-3510,-9.2
GLTP,3ric,nilutamide,4493,nilutamide-4493,-9.2
GLTP,3ric,paclitaxel,6713921,paclitaxel-6713921,-9.2
GLTP,3ric,paclitaxel,73759704,paclitaxel-73759704,-9.2
GLTP,3ric,toremifene,3005573,toremifene-3005573,-9.2
GLTP,3ric,valrubicin,454216,valrubicin-454216,-9.2
GLTP,3rwv,etoposide,137704929,etoposide-137704929,-9.2
GLTP,3rwv,temsirolimus,24847874,temsirolimus-24847874,-9.2
GLTP,3rzn,nilutamide,4493,nilutamide-4493,-9.2
GLTP,3s0i,etoposide,6419930,etoposide-6419930,-9.2
GLTP,3s0k,dactinomycin,457193,dactinomycin-457193,-9.2
GLTP,3s0k,paclitaxel,6915727,paclitaxel-6915727,-9.2
GLTP,3s0k,paclitaxel,91885464,paclitaxel-91885464,-9.2
GLTP,3s0k,temsirolimus,54608508,temsirolimus-54608508,-9.2
RHEB,3t5g,aprepitant,135413536,aprepitant-135413536,-9.2
RHEB,3t5g,sonidegib,24775005,sonidegib-24775005,-9.2
NR3C2,3vhu,nilotinib,644241,nilotinib-644241,-9.2
NR3C2,3wfg,bicalutamide,2375,bicalutamide-2375,-9.2
GLTP,4gh0,etoposide,439525,etoposide-439525,-9.2
GLTP,4gh0,etoposide,90657341,etoposide-90657341,-9.2
GLTP,4gh0,everolimus,6442177,everolimus-6442177,-9.2
GLTP,4ghp,brigatinib,68165256,brigatinib-68165256,-9.2
GLTP,4ghs,dasatinib,3062316,dasatinib-3062316,-9.2
GLTP,4ghs,gefitinib,123631,gefitinib-123631,-9.2
GLTP,4ghs,granisetron,118701621,granisetron-118701621,-9.2
GLTP,4ghs,granisetron,5284566,granisetron-5284566,-9.2
GLTP,4gjq,etoposide,45356822,etoposide-45356822,-9.2
GLTP,4gjq,granisetron,14788250,granisetron-14788250,-9.2
GLTP,4gjq,ribociclib,44631912,ribociclib-44631912,-9.2
VEGFA,4gls,etoposide,6708815,etoposide-6708815,-9.2
VEGFA,4gls,paclitaxel,5352019,paclitaxel-5352019,-9.2
VEGFA,4gls,ribociclib,44631912,ribociclib-44631912,-9.2
VEGFA,4gls,romidepsin,129905275,romidepsin-129905275,-9.2
GLTP,4gvt,belinostat,6918638,belinostat-6918638,-9.2
GLTP,4gvt,crizotinib,11626560,crizotinib-11626560,-9.2
GLTP,4gvt,letrozole,3902,letrozole-3902,-9.2
GLTP,4gxd,carfilzomib,11556711,carfilzomib-11556711,-9.2
GLTP,4gxd,dasatinib,3062316,dasatinib-3062316,-9.2
GLTP,4gxd,temsirolimus,129317846,temsirolimus-129317846,-9.2
GLTP,4gxd,toremifene,3005573,toremifene-3005573,-9.2
GLTP,4gxg,bicalutamide,2375,bicalutamide-2375,-9.2
GLTP,4gxg,crizotinib,11626560,crizotinib-11626560,-9.2
GLTP,4gxg,everolimus,6442177,everolimus-6442177,-9.2
GLTP,4gxg,gefitinib,123631,gefitinib-123631,-9.2
GLTP,4gxg,granisetron,118701621,granisetron-118701621,-9.2
GLTP,4gxg,granisetron,3510,granisetron-3510,-9.2
GLTP,4gxg,ribociclib,44631912,ribociclib-44631912,-9.2
GLTP,4h2z,exemestane,60198,exemestane-60198,-9.2
NR3C2,4pf3,venetoclax,49846579,venetoclax-49846579,-9.2
VEGFA,4qaf,venetoclax,49846579,venetoclax-49846579,-9.2
NR3C2,4tnt,olaparib,23725625,olaparib-23725625,-9.2
NR3C2,4uda,nilotinib,644241,nilotinib-644241,-9.2
NR3C2,4udb,palbociclib,5330286,palbociclib-5330286,-9.2
VEGFA,4wpb,sonidegib,24775005,sonidegib-24775005,-9.2
PADI4,4x8g,aprepitant,135413536,aprepitant-135413536,-9.2
PADI4,4x8g,brigatinib,68165256,brigatinib-68165256,-9.2
PADI4,4x8g,etoposide,11758093,etoposide-11758093,-9.2
PADI4,4x8g,etoposide,6708815,etoposide-6708815,-9.2
PADI4,4x8g,ivosidenib,71657455,ivosidenib-71657455,-9.2
PADI4,4x8g,panobinostat,6918837,panobinostat-6918837,-9.2
PADI4,4x8g,temsirolimus,132274070,temsirolimus-132274070,-9.2
PADI4,4x8g,temsirolimus,5938194,temsirolimus-5938194,-9.2
CDH3,4zmo,etoposide,36462,etoposide-36462,-9.2
CDH3,4zmp,nilotinib,644241,nilotinib-644241,-9.2
CDH3,4zmt,etoposide,36462,etoposide-36462,-9.2
CDH3,4zmv,etoposide,45356822,etoposide-45356822,-9.2
CDH3,4zmw,etoposide,50989217,etoposide-50989217,-9.2
CDH3,4zmw,trametinib,11707110,trametinib-11707110,-9.2
CDH3,4zmx,etoposide,9916469,etoposide-9916469,-9.2
VEGFA,5dn2,paclitaxel,441276,paclitaxel-441276,-9.2
VEGFA,5fv1,sonidegib,24775005,sonidegib-24775005,-9.2
VEGFA,5fv2,alectinib,49806720,alectinib-49806720,-9.2
NR3C2,5hcv,etoposide,50936917,etoposide-50936917,-9.2
NR3C2,5hcv,prednisone,5865,prednisone-5865,-9.2
NR3C2,5hcv,temsirolimus,132274070,temsirolimus-132274070,-9.2
VEGFA,5hhd,everolimus,6442177,everolimus-6442177,-9.2
VEGFA,5hhd,sonidegib,24775005,sonidegib-24775005,-9.2
CDH3,5jyl,etoposide,92209272,etoposide-92209272,-9.2
CDH3,5jym,venetoclax,49846579,venetoclax-49846579,-9.2
NR3C2,5l7e,nilutamide,4493,nilutamide-4493,-9.2
NR3C2,5l7g,lenalidomide,216326,lenalidomide-216326,-9.2
NR3C2,5l7g,nilotinib,644241,nilotinib-644241,-9.2
NR3C2,5l7h,etoposide,3310,etoposide-3310,-9.2
NR3C2,5l7h,lenalidomide,216326,lenalidomide-216326,-9.2
FABP6,5l8i,cobimetinib,16222096,cobimetinib-16222096,-9.2
FABP6,5l8o,dasatinib,3062316,dasatinib-3062316,-9.2
FABP6,5l8o,etoposide,9916469,etoposide-9916469,-9.2
FABP6,5l8o,plerixafor,65015,plerixafor-65015,-9.2
NR3C2,5mwp,axitinib,6450551,axitinib-6450551,-9.2
PADI4,5n1b,nilotinib,644241,nilotinib-644241,-9.2
PADI4,5n1b,venetoclax,49846579,venetoclax-49846579,-9.2
VEGFA,5o4e,temsirolimus,5938194,temsirolimus-5938194,-9.2
VEGFA,5t89,nilotinib,644241,nilotinib-644241,-9.2
RHEB,5yxh,everolimus,6442177,everolimus-6442177,-9.2
RHEB,6bsx,cobimetinib,16222096,cobimetinib-16222096,-9.2
RHEB,6bsx,granisetron,3510,granisetron-3510,-9.2
RHEB,6bsx,temsirolimus,5938194,temsirolimus-5938194,-9.2
RHEB,6bt0,carfilzomib,11556711,carfilzomib-11556711,-9.2
RHEB,6bt0,etoposide,9916469,etoposide-9916469,-9.2
RHEB,6bt0,regorafenib,11167602,regorafenib-11167602,-9.2
NCKIPSD,6dec,etoposide,3310,etoposide-3310,-9.2
NCKIPSD,6ded,etoposide,90657341,etoposide-90657341,-9.2
NCKIPSD,6ded,etoposide,92209272,etoposide-92209272,-9.2
VEGFA,1cz8,nilotinib,644241,nilotinib-644241,-9.1
VEGFA,1cz8,temsirolimus,18293306,temsirolimus-18293306,-9.1
VEGFA,1cz8,temsirolimus,23375915,temsirolimus-23375915,-9.1
VEGFA,1cz8,temsirolimus,5938194,temsirolimus-5938194,-9.1
VEGFA,1mkg,paclitaxel,36314,paclitaxel-36314,-9.1
VEGFA,1mkk,abemaciclib,46220502,abemaciclib-46220502,-9.1
FABP6,1o1v,dasatinib,3062316,dasatinib-3062316,-9.1
VEGFA,1qty,nilotinib,644241,nilotinib-644241,-9.1
VEGFA,1qty,temsirolimus,132274070,temsirolimus-132274070,-9.1
CITED2,1r8u,dactinomycin,457193,dactinomycin-457193,-9.1
GLTP,1swx,abemaciclib,46220502,abemaciclib-46220502,-9.1
GLTP,1sx6,dasatinib,3062316,dasatinib-3062316,-9.1
GLTP,1sx6,granisetron,14788250,granisetron-14788250,-9.1
GLTP,1sx6,paclitaxel,36314,paclitaxel-36314,-9.1
GLTP,1sx6,paclitaxel,441276,paclitaxel-441276,-9.1
GLTP,1sx6,plerixafor,65015,plerixafor-65015,-9.1
VEGFA,1tzh,etoposide,439525,etoposide-439525,-9.1
VEGFA,1tzh,temsirolimus,132274070,temsirolimus-132274070,-9.1
VEGFA,1tzh,temsirolimus,9876533,temsirolimus-9876533,-9.1
RHEB,1xtq,regorafenib,11167602,regorafenib-11167602,-9.1
RHEB,1xtq,venetoclax,49846579,venetoclax-49846579,-9.1
RHEB,1xtr,idelalisib,11625818,idelalisib-11625818,-9.1
NR3C2,1ya3,granisetron,118701621,granisetron-118701621,-9.1
NR3C2,1ya3,granisetron,14788250,granisetron-14788250,-9.1
NR3C2,2aa5,dactinomycin,457193,dactinomycin-457193,-9.1
NR3C2,2aa6,alectinib,49806720,alectinib-49806720,-9.1
NR3C2,2aax,aprepitant,135413536,aprepitant-135413536,-9.1
NR3C2,2aax,granisetron,17572266,granisetron-17572266,-9.1
NR3C2,2ab2,aprepitant,135413536,aprepitant-135413536,-9.1
NR3C2,2ab2,etoposide,17571827,etoposide-17571827,-9.1
NR3C2,2abi,venetoclax,49846579,venetoclax-49846579,-9.1
GLTP,2euk,etoposide,6610299,etoposide-6610299,-9.1
GLTP,2euk,paclitaxel,441276,paclitaxel-441276,-9.1
GLTP,2euk,paclitaxel,5352019,paclitaxel-5352019,-9.1
GLTP,2eum,axitinib,6450551,axitinib-6450551,-9.1
GLTP,2eum,enzalutamide,15951529,enzalutamide-15951529,-9.1
GLTP,2eum,etoposide,5284558,etoposide-5284558,-9.1
GLTP,2eum,gefitinib,123631,gefitinib-123631,-9.1
GLTP,2eum,ibrutinib,24821094,ibrutinib-24821094,-9.1
GLTP,2eum,paclitaxel,441276,paclitaxel-441276,-9.1
GLTP,2evd,ceritinib,57379345,ceritinib-57379345,-9.1
GLTP,2evd,etoposide,5284558,etoposide-5284558,-9.1
GLTP,2evd,ivosidenib,71657455,ivosidenib-71657455,-9.1
GLTP,2evd,ixabepilone,6445540,ixabepilone-6445540,-9.1
GLTP,2evd,paclitaxel,441276,paclitaxel-441276,-9.1
GLTP,2evd,paclitaxel,6713921,paclitaxel-6713921,-9.1
GLTP,2evd,paclitaxel,73759704,paclitaxel-73759704,-9.1
GLTP,2evl,ceritinib,57379345,ceritinib-57379345,-9.1
GLTP,2evl,idelalisib,11625818,idelalisib-11625818,-9.1
GLTP,2evl,ixabepilone,6445540,ixabepilone-6445540,-9.1
GLTP,2evs,ribociclib,44631912,ribociclib-44631912,-9.1
GLTP,2evt,anastrozole,2187,anastrozole-2187,-9.1
VEGFA,2fjg,temsirolimus,137295275,temsirolimus-137295275,-9.1
VEGFA,2fjh,plerixafor,65015,plerixafor-65015,-9.1
EPB41L3,2he7,panobinostat,6918837,panobinostat-6918837,-9.1
PTPRN,2i1y,etoposide,11072012,etoposide-11072012,-9.1
PTPRN,2i1y,temsirolimus,23724530,temsirolimus-23724530,-9.1
FABP6,2mm3,capecitabine,60953,capecitabine-60953,-9.1
NR3C2,2oax,alectinib,49806720,alectinib-49806720,-9.1
NR3C2,2oax,sonidegib,24775005,sonidegib-24775005,-9.1
NR3C2,2oax,vemurafenib,42611257,vemurafenib-42611257,-9.1
VEGFA,2qr0,everolimus,6442177,everolimus-6442177,-9.1
VEGFA,2qr0,temsirolimus,129317846,temsirolimus-129317846,-9.1
